TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0x824838e0,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,724,svchost.exe,N/A
0,0x824838e0,TCPv6,::,135,::,0,LISTENING,724,svchost.exe,N/A
0,0x82479108,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,724,svchost.exe,N/A
0,0x859330f0,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,N/A
0,0x859330f0,TCPv6,::,445,::,0,LISTENING,4,System,N/A
0,0x8670d430,TCPv4,0.0.0.0,5357,0.0.0.0,0,LISTENING,4,System,N/A
0,0x8670d430,TCPv6,::,5357,::,0,LISTENING,4,System,N/A
0,0x824757f8,TCPv4,0.0.0.0,49152,0.0.0.0,0,LISTENING,404,wininit.exe,N/A
0,0x824757f8,TCPv6,::,49152,::,0,LISTENING,404,wininit.exe,N/A
0,0x8248c9c0,TCPv4,0.0.0.0,49152,0.0.0.0,0,LISTENING,404,wininit.exe,N/A
0,0x824a2ba0,TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,776,svchost.exe,N/A
0,0x824a2ba0,TCPv6,::,49153,::,0,LISTENING,776,svchost.exe,N/A
0,0x8249a008,TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,776,svchost.exe,N/A
0,0x82573ed0,TCPv4,0.0.0.0,49154,0.0.0.0,0,LISTENING,936,svchost.exe,N/A
0,0x82573ed0,TCPv6,::,49154,::,0,LISTENING,936,svchost.exe,N/A
0,0x825737d8,TCPv4,0.0.0.0,49154,0.0.0.0,0,LISTENING,936,svchost.exe,N/A
0,0x86422c90,TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,476,services.exe,N/A
0,0x86422c90,TCPv6,::,49155,::,0,LISTENING,476,services.exe,N/A
0,0x864bfb60,TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,476,services.exe,N/A
0,0x86451400,TCPv4,0.0.0.0,49159,0.0.0.0,0,LISTENING,484,lsass.exe,N/A
0,0x86451400,TCPv6,::,49159,::,0,LISTENING,484,lsass.exe,N/A
0,0x8659e7a8,TCPv4,0.0.0.0,49159,0.0.0.0,0,LISTENING,484,lsass.exe,N/A
0,0x8662f7a8,UDPv4,0.0.0.0,68,*,0,,776,svchost.exe,2023-04-24 14:48:50.000000 
0,0x864bff50,UDPv6,fe80::e10d:dc70:b68b:a15b,546,*,0,,776,svchost.exe,2023-04-24 14:48:56.000000 
0,0x86705268,UDPv6,fe80::e10d:dc70:b68b:a15b,1900,*,0,,2408,svchost.exe,2023-04-24 14:55:52.000000 
0,0x866db410,UDPv6,::1,1900,*,0,,2408,svchost.exe,2023-04-24 14:55:52.000000 
0,0x867050f8,UDPv4,192.168.64.133,1900,*,0,,2408,svchost.exe,2023-04-24 14:55:52.000000 
0,0x853c71e0,UDPv4,127.0.0.1,1900,*,0,,2408,svchost.exe,2023-04-24 14:55:52.000000 
0,0x86594be8,UDPv4,0.0.0.0,3702,*,0,,1052,svchost.exe,2023-04-24 14:56:21.000000 
0,0x86594be8,UDPv6,::,3702,*,0,,1052,svchost.exe,2023-04-24 14:56:21.000000 
0,0x86714540,UDPv4,0.0.0.0,3702,*,0,,1052,svchost.exe,2023-04-24 14:56:21.000000 
0,0x86714540,UDPv6,::,3702,*,0,,1052,svchost.exe,2023-04-24 14:56:21.000000 
0,0x867268f0,UDPv4,0.0.0.0,3702,*,0,,2408,svchost.exe,2023-04-24 14:56:21.000000 
0,0x867268f0,UDPv6,::,3702,*,0,,2408,svchost.exe,2023-04-24 14:56:21.000000 
0,0x86711cd8,UDPv4,0.0.0.0,3702,*,0,,2408,svchost.exe,2023-04-24 14:56:21.000000 
0,0x86711cd8,UDPv6,::,3702,*,0,,2408,svchost.exe,2023-04-24 14:56:21.000000 
0,0x86719740,UDPv4,0.0.0.0,3702,*,0,,1052,svchost.exe,2023-04-24 14:56:21.000000 
0,0x867278b0,UDPv4,0.0.0.0,3702,*,0,,1052,svchost.exe,2023-04-24 14:56:21.000000 
0,0x864b7540,UDPv4,0.0.0.0,3702,*,0,,2408,svchost.exe,2023-04-24 14:56:21.000000 
0,0x86159b00,UDPv4,0.0.0.0,3702,*,0,,2408,svchost.exe,2023-04-24 14:56:21.000000 
0,0x86588e98,UDPv4,0.0.0.0,5355,*,0,,1120,svchost.exe,2023-04-24 14:59:30.000000 
0,0x86588e98,UDPv6,::,5355,*,0,,1120,svchost.exe,2023-04-24 14:59:30.000000 
0,0x866eec90,UDPv4,0.0.0.0,5355,*,0,,1120,svchost.exe,2023-04-24 14:59:30.000000 
0,0x866ee9d0,UDPv4,0.0.0.0,52707,*,0,,1052,svchost.exe,2023-04-24 14:56:22.000000 
0,0x842fd5f0,UDPv4,0.0.0.0,52708,*,0,,1052,svchost.exe,2023-04-24 14:56:22.000000 
0,0x842fd5f0,UDPv6,::,52708,*,0,,1052,svchost.exe,2023-04-24 14:56:22.000000 
0,0x8423bbf0,UDPv6,fe80::e10d:dc70:b68b:a15b,57630,*,0,,2408,svchost.exe,2023-04-24 14:55:53.000000 
0,0x842a4d00,UDPv6,::1,57631,*,0,,2408,svchost.exe,2023-04-24 14:55:53.000000 
0,0x84300cd8,UDPv4,192.168.64.133,57632,*,0,,2408,svchost.exe,2023-04-24 14:55:53.000000 
0,0x843593f0,UDPv4,127.0.0.1,57633,*,0,,2408,svchost.exe,2023-04-24 14:55:53.000000 
0,0x86712f50,UDPv4,0.0.0.0,58294,*,0,,2408,svchost.exe,2023-04-24 14:41:46.000000 
0,0x86712ab8,UDPv4,0.0.0.0,58295,*,0,,2408,svchost.exe,2023-04-24 14:41:46.000000 
0,0x86712ab8,UDPv6,::,58295,*,0,,2408,svchost.exe,2023-04-24 14:41:46.000000 
0,0x86717920,UDPv4,0.0.0.0,58990,*,0,,1052,svchost.exe,2023-04-24 14:56:00.000000 
0,0x8432a4e8,UDPv4,0.0.0.0,58991,*,0,,1052,svchost.exe,2023-04-24 14:56:00.000000 
0,0x8432a4e8,UDPv6,::,58991,*,0,,1052,svchost.exe,2023-04-24 14:56:00.000000 

